firstname,lastname,partyAbbreviation,offene_aussenpolitik,liberale_wirtschaftspolitik,restriktive_finanzpolitik,law_order,restriktive_migrationspolitik,ausgebauter_umweltschutz,ausgebauter_sozialstaat,liberale_gesellschaft
Susanne,Vincenz-Stauffacher,FDP,78.5714,78.125,42.6471,54.6667,37.5,58.9286,32.5,60.5333
Martina,Munz,SP,60.7143,17.1875,25.0,16.6667,0.0,96.4286,100.0,88.3333
